Date,Tweet,User,Keyword
09/29/2021,Statue of God ganesh made by old man captured by Edited by yaspphotography TimesNow COVID19 festival India photooftheday photography,yaspphotography,COVID
09/29/2021,sunfreaks SunderlandLolly bickypeg Ivermectin bis not used in India for treating COVIDStop spreading BS,R53316842,COVID
09/28/2021,GKX Tigresade1810 TravNoff Better alive than dead with COVID,R53316842,COVID
09/27/2021,For the latest industry updates and regular knowledge do follow houzagHouzag houzaginfraservices realestateperformance realestateindia realestatetrends nri pandemic homebuying realestatecompany realtorlife realestateinvesting realty realestate propertymanagement,houzag,COVID
09/27/2021,Todays Covid19 vaccination crossed 1 crores Kudos India India COVID19 LargestVaccineDrive,mr_sn_gt_,COVID
09/27/2021,On world tourism day gathering the memories of unlocking the fight against pandemic with friends part of family trip with friends are like more adventures and memorable then a place CBRETravelUnlockedCBREIndiaGoa,hrshmaniyar9,COVID
09/27/2021,Our hardworking team didnt stop working even during these difficult times of the COVID19 pandemic while following all COVID protocolsAbaseline survey on pilot basis was held at SKV Baba Ramdev SchoolPrasad Nagar Delhiunder the supervision of our mentors,UnisedIndia,COVID
09/26/2021,JPNadda narendramodi Political rally doesnt have to follow covid protocolAnd here we are not able to go our Temples,Gr8_Ganesha,COVID
09/25/2021,With over 85 crore COVID vaccines administered so far India is making commendable progress in conducting the worlds LargestVaccineDrive but our fight our fight against COVID19 isnt over yet so please follow COVID precautionsLargestVaccineDrive Covid19Vaccine,iYashAnilkumar,COVID
09/25/2021,jiteshagr BhavikaKapoor5 SushantBSinha Every country in the world helped their citizens overcome the crunch caused by Covid lockdown EXCEPT FOR INDIA MOTIJI ANNOUNCED 20 lakh crores that too in loans and no one has yet seen a person who has received from it,LinySajan,COVID
09/25/2021,ajitdatta American media reported Indian protocol was told in advance that Biden would like to avoid hugs and contact greetings I think Modi himself has resisted from hugging any leader since advent of Covid19 Unnecessary speculation,vishu49,COVID
09/24/2021,From now on there will be night curfew from 12 noon to 6 in the morningCheekoo free from ChakiLast year Navratri was not celebrated due to Corona but this year the situation has eased a bit and road riots have been allowed in Gujaratgujaratgovernment,Rajendr82948562,corona
